"A.No.","A.spec","L.population","Dpi","length","weight","sex","A.l3","l3","l4","adult.m","adult.f","enc","egg","Pseudo 0-3","dis.date","tank","L2"
"AA/R-2","AA","R",55,37,85,"na",2,4,3,5,5,0,0,0,01/02/10,"19.a","Aal212"
"AA/R-3","AA","R",55,36,95,"na",2,0,0,1,0,0,0,0,01/02/10,"19.a","Aal212"
"AA/R-4","AA","R",55,34,75,"na",2,1,5,7,3,0,0,0,01/02/10,"19.a","Aal212"
"AA/T-26","AA","T",56,38.8,95,"na",3,0,5,3,3,2,0,0,"29.01.10",17,"AJ31"
"AA/T-27","AA","T",56,46.3,140,"na",3,0,5,3,3,0,0,0,"29.01.10",17,"AJ31"
"AA/T-28","AA","T",56,42,110,"na",3,4,4,2,2,0,0,0,"29.01.10",17,"AJ31"
"AA/T-29","AA","T",56,39,90,"na",3,3,1,6,3,0,0,0,"29.01.10",17,"AJ31"
"AA/T-30","AA","T",56,45.6,140,"na",3,3,3,2,2,1,0,0,"29.01.10",17,"AJ31"
"AA/T-31","AA","T",56,42.4,115,"na",3,3,4,3,1,0,0,0,"29.01.10",17,"AJ31"
"AA/T-32","AA","T",56,38,105,"na",3,2,1,3,2,0,0,0,"29.01.10",17,"AJ31"
"AA/T-33","AA","T",56,37,90,"na",3,11,3,8,2,2,3,0,"29.01.10",17,"AJ31"
"AA/T-34","AA","T",56,35,75,"na",3,0,0,0,0,0,0,0,"29.01.10",17,"AJ26"
"AA/T-35","AA","T",56,47,115,"na",3,4,2,4,6,0,1,0,"29.01.10",17,"AJ26"
"AA/T-36","AA","T",56,41,95,"na",3,1,1,1,0,0,0,0,"29.01.10",17,"AJ26"
"AA/T-37","AA","T",56,36.1,75,"na",3,2,2,4,1,0,0,0,"29.01.10",17,"AJ26"
"AA/T-38","AA","T",56,37,85,"na",3,2,0,2,0,0,0,0,"29.01.10",17,"AJ26"
"AA/T-39","AA","T",56,43.5,110,"na",3,5,2,0,5,0,0,0,"29.01.10",17,"AJ26"
"AA/T-40","AA","T",56,45,110,"na",3,2,4,1,1,0,0,0,"29.01.10",17,"AJ19"
"AA/T-41","AA","T",56,43,105,"na",3,4,1,3,3,0,0,0,"29.01.10",17,"AJ19"
"AA/T-42","AA","T",56,42,120,"na",3,2,2,9,2,0,0,0,"29.01.10",17,"AJ19"
"AA/T-43","AA","T",56,40,105,"na",3,2,2,4,1,0,0,0,"29.01.10",17,"AJ19"
"AA/T-44","AA","T",56,40,95,"na",3,0,0,4,3,0,0,0,"29.01.10",14,"AJ19"
"AA/T-45","AA","T",56,38,95,"na",3,4,1,4,1,0,1,0,"29.01.10",14,"AJ19"
"AA/T-46","AA","T",56,50,205,"na",3,3,2,2,3,0,0,0,"29.01.10",14,"AJ19"
"AA/T-47","AA","T",56,43,115,"na",3,6,8,2,4,0,0,0,"29.01.10",14,"AJ19"
"AA/T-48","AA","T",56,36,90,"na",3,0,0,0,0,0,0,0,"29.01.10",14,"AJ19"
"AA/T-49","AA","T",56,41,85,"na",3,0,0,1,1,0,0,0,"29.01.10",14,"AJ19"
"AA/T-50","AA","T",56,42,115,"na",3,0,2,4,3,0,0,0,"29.01.10",14,"AJ19"
"AA/T-51","AA","T",56,39,85,"na",3,"na","na",7,1,"na",1,0,"29.01.10",14,"AJ19"
"AA/T-52","AA","T",56,39,95,"na",3,2,0,0,4,0,0,0,"29.01.10",14,"AJ19"
"AA/T-53","AA","T",56,43,115,"na",3,0,0,0,0,0,0,0,"29.01.10",14,"AJ19"
"AA/T-54","AA","T",56,47,125,"na",3,0,0,1,1,0,0,0,"29.01.10",14,"AJ19"
"AJ/R-4","AJ","R",44,36,85,"na",2,0,0,0,0,0,0,0,03/02/10,2,"Aal212"
"AJ/R-5","AJ","R",40,"na","na","na",2,1,5,4,6,0,0,0,03/02/10,2,"Aal212"
"AJ/R-6","AJ","R",60,36,90,"na",2,0,0,0,0,0,0,0,10/02/10,2,"Aal220"
"AJ/R-7","AJ","R",56,37,85,"na",2,1,2,0,0,0,0,0,"15.02.2010",2,"Aal220"
"AJ/R-8","AJ","R",56,54,90,"na",2,2,2,0,1,0,0,0,"15.02.2010",2,"Aal220"
"AJ/R-9","AJ","R",56,36.5,55,"na",2,0,3,0,0,0,0,0,"15.02.2010",2,"Aal220"
"AJ/R-10","AJ","R",56,37,55,"na",2,0,3,0,0,0,0,0,"15.02.2010",2,"Aal220"
"AJ/R-11","AJ","R",56,36,45,"na",2,0,0,1,1,0,0,0,"15.02.2010",2,"Aal220"
"AJ/R-12","AJ","R",56,42,80,"na",2,3,5,0,0,1,0,0,"15.02.2010",2,"NK2"
"AJ/R-13","AJ","R",56,39.5,65,"na",2,1,2,0,0,0,0,0,"15.02.2010",2,"NK2"
"AJ/R-14","AJ","R",56,38,50,"na",2,0,1,0,0,0,0,0,"15.02.2010",2,"NK2"
"AJ/R-15","AJ","R",56,36.5,50,"na",2,4,6,0,0,4,0,0,"15.02.2010",2,"NK2"
"AA/R-5","AJ","R",57,39,120,"na",2,0,12,1,4,3,0,0,"14.02.2010",19,"Aal220"
"AA/R-6","AA","R",57,35,100,"na",2,0,5,8,15,4,0,0,"14.02.2010",19,"Aal220"
"AA/R-7","AA","R",57,36,125,"na",2,1,4,9,11,0,0,0,"14.02.2010",19,"Aal220"
"AA/R-8","AA","R",57,35,100,"na",2,1,5,10,17,0,1,0,"14.02.2010",19,"Aal220"
"AA/R-9","AA","R",57,39,100,"na",2,0,4,17,8,0,0,0,"14.02.2010",19,"Aal220"
"AA/R-10","AA","R",57,34,80,"na",2,1,2,9,9,1,0,0,"14.02.2010",19,"Aal220"
"AA/R-11","AA","R",57,47,190,"na",2,0,4,15,10,2,0,3,"14.02.2010",19,"NK2"
"AA/R-12","AA","R",57,38,95,"na",2,0,0,7,1,0,0,3,"14.02.2010",19,"NK2"
"AA/R-13","AA","R",57,35,95,"na",2,0,2,8,1,0,0,3,"14.02.2010",19,"NK2"
"AA/R-14","AA","R",57,38,110,"na",2,"na","na",4,9,"na",1,3,"14.02.2010",19,"NK2"
"AA/R-15","AA","R",57,42,110,"na",2,0,1,3,3,0,0,3,"14.02.2010",19,"NK2"
"AJ/R-16","AJ","R",54,60,100,"na",2,3,2,0,0,0,0,0,"16.02.2010",2,"NK3"
"AJ/R-17","AJ","R",54,50,335,"na",2,1,0,0,0,0,0,0,"16.02.2010",2,"NK3"
"AJ/R-18","AJ","R",54,50,110,"na",2,6,3,0,0,0,0,0,"16.02.2010",2,"NK3"
"AA/R-16","AA","R",55,35,115,"na",2,2,4,5,5,0,0,0,"17.02.2010",4,"NK3"
"AA/R-17","AA","R",55,40,215,"na",2,16,10,4,7,0,0,0,"17.02.2010",4,"NK3"
"AA/R-18","AA","R",55,38,120,"na",2,2,8,2,2,0,0,0,"17.02.2010",4,"NK3"
"AA/R-19","AA","R",55,41,135,"na",2,8,2,0,0,1,0,0,"17.02.2010",4,"NK3"
"AA/R-20","AA","R",55,25,90,"na",2,0,0,0,0,0,0,0,"17.02.2010",4,"NK3"
"AA/R-21 ","AA","R",55,35,95,"na",2,0,0,1,4,0,0,0,"17.02.2010",4,"NK3"
"AA/R-22","AA","R",55,46,210,"na",2,5,2,0,0,0,0,0,"17.02.2010",4,"NK3"
"AA/R-23","AA","R",55,36,100,"na",2,1,0,2,3,0,0,0,"17.02.2010",4,"NK3"
"AA/R-24","AA","R",55,43,130,"na",2,6,10,0,0,0,0,0,"17.02.2010",4,"NK3"
"AA/R-25","AA","R",55,30,85,"na",2,3,7,2,2,0,0,0,"17.02.2010",4,"NK3"
"AA/R-26","AA","R",55,45,120,"na",2,4,2,6,0,0,0,0,"17.02.2010",4,"NK3"
"AA/R-27","AA","R",55,40,146,"na",2,2,0,0,0,0,0,0,"17.02.2010",4,"NK3"
"AA/R-28","AA","R",55,50,235,"na",2,9,4,7,3,0,0,0,"17.02.2010",4,"NK3"
"AA/R-29","AA","R",55,38,105,"na",2,2,6,2,1,0,0,0,"17.02.2010",4,"NK3"
